geneID	name
nbis-gene-10193	spYLR040C
nbis-gene-10194	spYLR042C
nbis-gene-10195	spYLR043C
nbis-gene-10196	spYLR045C
nbis-gene-10197	spYLR046C
nbis-gene-10198	spYLR047C
nbis-gene-10199	spYLR048W
nbis-gene-102	scYAL060W
nbis-gene-1020	scYDL206W
nbis-gene-10200	spYLR049C
nbis-gene-10201	spYLR050C
nbis-gene-10202	spYLR051C
nbis-gene-10203	spYLR052W
nbis-gene-10204	spYLR053C
nbis-gene-10205	spYLR054C
nbis-gene-10206	spYLR055C
nbis-gene-10207	spYLR056W
nbis-gene-10208	spYLR057W
nbis-gene-10209	spYLR058C
nbis-gene-1021	scYDL207W
nbis-gene-10210	spYLR059C
nbis-gene-10211	spYLR060W
nbis-gene-10212	spYLR061W
nbis-gene-10213	spYLR063W
nbis-gene-10214	spYLR064W
nbis-gene-10215	spYLR065C
nbis-gene-10216	spYLR066W
nbis-gene-10217	spYLR067C
nbis-gene-10218	spYLR068W
nbis-gene-10219	spYLR069C
nbis-gene-1022	scYDL208W
nbis-gene-10220	spYLR070C
nbis-gene-10221	spYLR071C
nbis-gene-10222	spYLR072W
nbis-gene-10223	spYLR073C
nbis-gene-10224	spYLR074C
nbis-gene-10225	spYLR075W
nbis-gene-10226	spYLR077W
nbis-gene-10227	spYLR078C
nbis-gene-10228	spYLR079W
nbis-gene-10229	spYLR080W
nbis-gene-1023	scYDL209C
nbis-gene-10230	spYLR081W
nbis-gene-10231	spYLR082C
nbis-gene-10232	spYLR083C
nbis-gene-10233	spYLR084C
nbis-gene-10234	spYLR085C
nbis-gene-10235	spYLR086W
nbis-gene-10236	spYLR087C
nbis-gene-10237	spYLR088W
nbis-gene-10238	spYLR089C
nbis-gene-10239	spYLR090W
nbis-gene-1024	scYDL210W
nbis-gene-10240	spYLR091W
nbis-gene-10241	spYLR092W
nbis-gene-10242	spYLR093C
nbis-gene-10243	spYLR094C
nbis-gene-10244	spYLR095C
nbis-gene-10245	spYLR096W
nbis-gene-10246	spYLR097C
nbis-gene-10247	spYLR098C
nbis-gene-10248	spYLR099C
nbis-gene-10249	spYLR099W-A
nbis-gene-1025	scYDL211C
nbis-gene-10250	spYLR100W
nbis-gene-10251	spYLR102C
nbis-gene-10252	spYLR103C
nbis-gene-10253	spYLR104W
nbis-gene-10254	spYLR105C
nbis-gene-10255	spYLR106C
nbis-gene-10256	spYLR107W
nbis-gene-10257	spYLR108C
nbis-gene-10258	spYLR109W
nbis-gene-10259	spYLR110C
nbis-gene-1026	scYDL212W
nbis-gene-10260	spYLR111W
nbis-gene-10261	spYLR113W
nbis-gene-10262	spYLR114C
nbis-gene-10263	spYLR115W
nbis-gene-10264	spYLR116W
nbis-gene-10265	spYLR117C
nbis-gene-10266	spYLR118C
nbis-gene-10267	spYLR119W
nbis-gene-10268	spYLR120C
nbis-gene-10269	spYLR120W-A
nbis-gene-1027	scYDL213C
nbis-gene-10270	spYLR121C
nbis-gene-10271	spYLR122C
nbis-gene-10272	spYLR124W
nbis-gene-10273	spYLR125W
nbis-gene-10274	spYLR126C
nbis-gene-10275	spYLR127C
nbis-gene-10276	spYLR128W
nbis-gene-10277	spYLR129W
nbis-gene-10278	spYLR130C
nbis-gene-10279	spYLR131C
nbis-gene-1028	scYDL214C
nbis-gene-10280	spYLR132C
nbis-gene-10281	spYLR133W
nbis-gene-10282	spYLR134W
nbis-gene-10283	spYLR135W
nbis-gene-10284	spYLR136C
nbis-gene-10285	spYLR137W
nbis-gene-10286	spYLR138W
nbis-gene-10287	spYLR139C
nbis-gene-10288	spYLR140W
nbis-gene-10289	spYLR141W
nbis-gene-1029	scYDL215C
nbis-gene-10290	spYLR142W
nbis-gene-10291	spYLR143W
nbis-gene-10292	spYLR144C
nbis-gene-10293	spYLR145W
nbis-gene-10294	spYLR146C
nbis-gene-10295	spYLR146W-A
nbis-gene-10296	spYLR147C
nbis-gene-10297	spYLR148W
nbis-gene-10298	spYLR149C
nbis-gene-10299	spYLR149C-A
nbis-gene-103	scYAL061W
nbis-gene-1030	scYDL216C
nbis-gene-10300	spYLR150W
nbis-gene-10301	spYLR151C
nbis-gene-10302	spYLR152C
nbis-gene-10303	spYLR153C
nbis-gene-10304	spYLR154C
nbis-gene-10305	spYLR154C-H
nbis-gene-10306	spYLR154W-A
nbis-gene-10307	spYLR154W-B
nbis-gene-10308	spYLR154W-C
nbis-gene-10309	spYLR154W-E
nbis-gene-1031	scYDL217C
nbis-gene-10310	spYLR154W-F
nbis-gene-10311	spYLR162W
nbis-gene-10312	spYLR162W-A
nbis-gene-10313	spYLR163C
nbis-gene-10314	spYLR164W
nbis-gene-10315	spYLR165C
nbis-gene-10316	spYLR166C
nbis-gene-10317	spYLR167W
nbis-gene-10318	spYLR168C
nbis-gene-10319	spYLR169W
nbis-gene-1032	scYDL218W
nbis-gene-10320	spYLR170C
nbis-gene-10321	spYLR172C
nbis-gene-10322	spYLR173W
nbis-gene-10323	spYLR174W
nbis-gene-10324	spYLR175W
nbis-gene-10325	spYLR176C
nbis-gene-10326	spYLR177W
nbis-gene-10327	spYLR178C
nbis-gene-10328	spYLR179C
nbis-gene-10329	spYLR180W
nbis-gene-1033	scYDL219W
nbis-gene-10330	spYLR181C
nbis-gene-10331	spYLR182W
nbis-gene-10332	spYLR183C
nbis-gene-10333	spYLR185W
nbis-gene-10334	spYLR186W
nbis-gene-10335	spYLR187W
nbis-gene-10336	spYLR188W
nbis-gene-10337	spYLR189C
nbis-gene-10338	spYLR190W
nbis-gene-10339	spYLR191W
nbis-gene-1034	scYDL220C
nbis-gene-10340	spYLR192C
nbis-gene-10341	spYLR193C
nbis-gene-10342	spYLR194C
nbis-gene-10343	spYLR195C
nbis-gene-10344	spYLR196W
nbis-gene-10345	spYLR197W
nbis-gene-10346	spYLR199C
nbis-gene-10347	spYLR200W
nbis-gene-10348	spYLR201C
nbis-gene-10349	spYLR202C
nbis-gene-1035	scYDL221W
nbis-gene-10350	spYLR203C
nbis-gene-10351	spYLR204W
nbis-gene-10352	spYLR205C
nbis-gene-10353	spYLR206W
nbis-gene-10354	spYLR207W
nbis-gene-10355	spYLR208W
nbis-gene-10356	spYLR209C
nbis-gene-10357	spYLR210W
nbis-gene-10358	spYLR211C
nbis-gene-10359	spYLR212C
nbis-gene-1036	scYDL222C
nbis-gene-10360	spYLR213C
nbis-gene-10361	spYLR214W
nbis-gene-10362	spYLR215C
nbis-gene-10363	spYLR216C
nbis-gene-10364	spYLR218C
nbis-gene-10365	spYLR219W
nbis-gene-10366	spYLR220W
nbis-gene-10367	spYLR221C
nbis-gene-10368	spYLR222C
nbis-gene-10369	spYLR222C-A
nbis-gene-1037	scYDL223C
nbis-gene-10370	spYLR223C
nbis-gene-10371	spYLR224W
nbis-gene-10372	spYLR225C
nbis-gene-10373	spYLR226W
nbis-gene-10374	spYLR227C
nbis-gene-10375	spYLR228C
nbis-gene-10376	spYLR229C
nbis-gene-10377	spYLR231C
nbis-gene-10378	spYLR233C
nbis-gene-10379	spYLR234W
nbis-gene-1038	scYDL224C
nbis-gene-10380	spYLR236C
nbis-gene-10381	spYLR238W
nbis-gene-10382	spYLR239C
nbis-gene-10383	spYLR240W
nbis-gene-10384	spYLR241W
nbis-gene-10385	spYLR242C
nbis-gene-10386	spYLR243W
nbis-gene-10387	spYLR244C
nbis-gene-10388	spYLR245C
nbis-gene-10389	spYLR246W
nbis-gene-1039	scYDL225W
nbis-gene-10390	spYLR247C
nbis-gene-10391	spYLR248W
nbis-gene-10392	spYLR249W
nbis-gene-10393	spYLR250W
nbis-gene-10394	spYLR251W
nbis-gene-10395	spYLR252W
nbis-gene-10396	spYLR253W
nbis-gene-10397	spYLR254C
nbis-gene-10398	spYLR255C
nbis-gene-10399	spYLR256W
nbis-gene-104	scYAL062W
nbis-gene-1040	scYDL226C
nbis-gene-10400	spYLR257W
nbis-gene-10401	spYLR258W
nbis-gene-10402	spYLR259C
nbis-gene-10403	spYLR260W
nbis-gene-10404	spYLR262C
nbis-gene-10405	spYLR263W
nbis-gene-10406	spYLR264C-A
nbis-gene-10407	spYLR264W
nbis-gene-10408	spYLR265C
nbis-gene-10409	spYLR266C
nbis-gene-1041	scYDL227C
nbis-gene-10410	spYLR267W
nbis-gene-10411	spYLR268W
nbis-gene-10412	spYLR269C
nbis-gene-10413	spYLR270W
nbis-gene-10414	spYLR271W
nbis-gene-10415	spYLR272C
nbis-gene-10416	spYLR273C
nbis-gene-10417	spYLR274W
nbis-gene-10418	spYLR275W
nbis-gene-10419	spYLR276C
nbis-gene-1042	scYDL228C
nbis-gene-10420	spYLR277C
nbis-gene-10421	spYLR278C
nbis-gene-10422	spYLR279W
nbis-gene-10423	spYLR281C
nbis-gene-10424	spYLR283W
nbis-gene-10425	spYLR284C
nbis-gene-10426	spYLR285W
nbis-gene-10427	spYLR286C
nbis-gene-10428	spYLR287C
nbis-gene-10429	spYLR288C
nbis-gene-1043	scYDL229W
nbis-gene-10430	spYLR289W
nbis-gene-10431	spYLR290C
nbis-gene-10432	spYLR291C
nbis-gene-10433	spYLR292C
nbis-gene-10434	spYLR293C
nbis-gene-10435	spYLR294C
nbis-gene-10436	spYLR295C
nbis-gene-10437	spYLR296W
nbis-gene-10438	spYLR297W
nbis-gene-10439	spYLR298C
nbis-gene-1044	scYDL230W
nbis-gene-10440	spYLR299W
nbis-gene-10441	spYLR300W
nbis-gene-10442	spYLR301W
nbis-gene-10443	spYLR303W
nbis-gene-10444	spYLR304C
nbis-gene-10445	spYLR305C
nbis-gene-10446	spYLR306W
nbis-gene-10447	spYLR307C-A
nbis-gene-10448	spYLR307W
nbis-gene-10449	spYLR308W
nbis-gene-1045	scYDL231C
nbis-gene-10450	spYLR309C
nbis-gene-10451	spYLR310C
nbis-gene-10452	spYLR311C
nbis-gene-10453	spYLR312C
nbis-gene-10454	spYLR312W-A
nbis-gene-10455	spYLR313C
nbis-gene-10456	spYLR314C
nbis-gene-10457	spYLR315W
nbis-gene-10458	spYLR318W
nbis-gene-10459	spYLR319C
nbis-gene-1046	scYDL232W
nbis-gene-10460	spYLR320W
nbis-gene-10461	spYLR321C
nbis-gene-10462	spYLR323C
nbis-gene-10463	spYLR324W
nbis-gene-10464	spYLR325C
nbis-gene-10465	spYLR326W
nbis-gene-10466	spYLR327C
nbis-gene-10467	spYLR328W
nbis-gene-10468	spYLR329W
nbis-gene-10469	spYLR330W
nbis-gene-1047	scYDL233W
nbis-gene-10470	spYLR332W
nbis-gene-10471	spYLR333C
nbis-gene-10472	spYLR334C
nbis-gene-10473	spYLR335W
nbis-gene-10474	spYLR336C
nbis-gene-10475	spYLR337C
nbis-gene-10476	spYLR340W
nbis-gene-10477	spYLR341W
nbis-gene-10478	spYLR342W-A
nbis-gene-10479	spYLR343W
nbis-gene-1048	scYDL234C
nbis-gene-10480	spYLR345W
nbis-gene-10481	spYLR346C
nbis-gene-10482	spYLR347C
nbis-gene-10483	spYLR348C
nbis-gene-10484	spYLR349W
nbis-gene-10485	spYLR350W
nbis-gene-10486	spYLR351C
nbis-gene-10487	spYLR352W
nbis-gene-10488	spYLR353W
nbis-gene-10489	spYLR354C
nbis-gene-1049	scYDL235C
nbis-gene-10490	spYLR355C
nbis-gene-10491	spYLR356W
nbis-gene-10492	spYLR357W
nbis-gene-10493	spYLR359W
nbis-gene-10494	spYLR360W
nbis-gene-10495	spYLR361C
nbis-gene-10496	spYLR361C-A
nbis-gene-10497	spYLR362W
nbis-gene-10498	spYLR363C
nbis-gene-10499	spYLR363W-A
nbis-gene-105	scYAL063C
nbis-gene-1050	scYDL236W
nbis-gene-10500	spYLR364W
nbis-gene-10501	spYLR367W
nbis-gene-10502	spYLR368W
nbis-gene-10503	spYLR369W
nbis-gene-10504	spYLR370C
nbis-gene-10505	spYLR371W
nbis-gene-10506	spYLR372W
nbis-gene-10507	spYLR373C
nbis-gene-10508	spYLR374C
nbis-gene-10509	spYLR375W
nbis-gene-1051	scYDL237W
nbis-gene-10510	spYLR376C
nbis-gene-10511	spYLR377C
nbis-gene-10512	spYLR378C
nbis-gene-10513	spYLR380W
nbis-gene-10514	spYLR381W
nbis-gene-10515	spYLR382C
nbis-gene-10516	spYLR383W
nbis-gene-10517	spYLR384C
nbis-gene-10518	spYLR385C
nbis-gene-10519	spYLR386W
nbis-gene-1052	scYDL238C
nbis-gene-10520	spYLR387C
nbis-gene-10521	spYLR388W
nbis-gene-10522	spYLR389C
nbis-gene-10523	spYLR390W
nbis-gene-10524	spYLR390W-A
nbis-gene-10525	spYLR392C
nbis-gene-10526	spYLR393W
nbis-gene-10527	spYLR394W
nbis-gene-10528	spYLR395C
nbis-gene-10529	spYLR396C
nbis-gene-1053	scYDL239C
nbis-gene-10530	spYLR397C
nbis-gene-10531	spYLR398C
nbis-gene-10532	spYLR399C
nbis-gene-10533	spYLR401C
nbis-gene-10534	spYLR402W
nbis-gene-10535	spYLR403W
nbis-gene-10536	spYLR404W
nbis-gene-10537	spYLR405W
nbis-gene-10538	spYLR407W
nbis-gene-10539	spYLR408C
nbis-gene-1054	scYDL240C-A
nbis-gene-10540	spYLR409C
nbis-gene-10541	spYLR410W
nbis-gene-10542	spYLR411W
nbis-gene-10543	spYLR412C-A
nbis-gene-10544	spYLR412W
nbis-gene-10545	spYLR413W
nbis-gene-10546	spYLR414C
nbis-gene-10547	spYLR415C
nbis-gene-10548	spYLR416C
nbis-gene-10549	spYLR417W
nbis-gene-1055	scYDL240W
nbis-gene-10550	spYLR418C
nbis-gene-10551	spYLR419W
nbis-gene-10552	spYLR420W
nbis-gene-10553	spYLR421C
nbis-gene-10554	spYLR422W
nbis-gene-10555	spYLR423C
nbis-gene-10556	spYLR424W
nbis-gene-10557	spYLR425W
nbis-gene-10558	spYLR426W
nbis-gene-10559	spYLR427W
nbis-gene-1056	scYDL241W
nbis-gene-10560	spYLR428C
nbis-gene-10561	spYLR429W
nbis-gene-10562	spYLR430W
nbis-gene-10563	spYLR431C
nbis-gene-10564	spYLR432W
nbis-gene-10565	spYLR433C
nbis-gene-10566	spYLR434C
nbis-gene-10567	spYLR435W
nbis-gene-10568	spYLR436C
nbis-gene-10569	spYLR437C
nbis-gene-1057	scYDL242W
nbis-gene-10570	spYLR438C-A
nbis-gene-10571	spYLR438W
nbis-gene-10572	spYLR439W
nbis-gene-10573	spYLR440C
nbis-gene-10574	spYLR441C
nbis-gene-10575	spYLR442C
nbis-gene-10576	spYLR443W
nbis-gene-10577	spYLR445W
nbis-gene-10578	spYLR446W
nbis-gene-10579	spYLR447C
nbis-gene-1058	scYDL243C
nbis-gene-10580	spYLR448W
nbis-gene-10581	spYLR449W
nbis-gene-10582	spYLR450W
nbis-gene-10583	spYLR451W
nbis-gene-10584	spYLR452C
nbis-gene-10585	spYLR453C
nbis-gene-10586	spYLR454W
nbis-gene-10587	spYLR455W
nbis-gene-10588	spYLR456W
nbis-gene-10589	spYLR457C
nbis-gene-1059	scYDL244W
nbis-gene-10590	spYLR459W
nbis-gene-10591	spYLR460C
nbis-gene-10592	spYLR465C
nbis-gene-10593	spYLR466W
nbis-gene-10594	spYLR467W
nbis-gene-10595	spYML001W
nbis-gene-10596	spYML002W
nbis-gene-10597	spYML004C
nbis-gene-10598	spYML005W
nbis-gene-10599	spYML006C
nbis-gene-106	scYAL063C-A
nbis-gene-1060	scYDL245C
nbis-gene-10600	spYML007C-A
nbis-gene-10601	spYML007W
nbis-gene-10602	spYML008C
nbis-gene-10603	spYML009C
nbis-gene-10604	spYML010W
nbis-gene-10605	spYML011C
nbis-gene-10606	spYML012W
nbis-gene-10607	spYML013W
nbis-gene-10608	spYML014W
nbis-gene-10609	spYML015C
nbis-gene-1061	scYDL246C
nbis-gene-10610	spYML016C
nbis-gene-10611	spYML017W
nbis-gene-10612	spYML018C
nbis-gene-10613	spYML019W
nbis-gene-10614	spYML020W
nbis-gene-10615	spYML021C
nbis-gene-10616	spYML022W
nbis-gene-10617	spYML023C
nbis-gene-10618	spYML024W
nbis-gene-10619	spYML025C
nbis-gene-1062	scYDL247W
nbis-gene-10620	spYML026C
nbis-gene-10621	spYML027W
nbis-gene-10622	spYML028W
nbis-gene-10623	spYML029W
nbis-gene-10624	spYML030W
nbis-gene-10625	spYML031W
nbis-gene-10626	spYML032C
nbis-gene-10627	spYML034W
nbis-gene-10628	spYML035C
nbis-gene-10629	spYML036W
nbis-gene-1063	scYDL247W-A
nbis-gene-10630	spYML037C
nbis-gene-10631	spYML038C
nbis-gene-10632	spYML041C
nbis-gene-10633	spYML042W
nbis-gene-10634	spYML043C
nbis-gene-10635	spYML046W
nbis-gene-10636	spYML047C
nbis-gene-10637	spYML048W
nbis-gene-10638	spYML049C
nbis-gene-10639	spYML050W
nbis-gene-1064	scYDL248W
nbis-gene-10640	spYML051W
nbis-gene-10641	spYML052W
nbis-gene-10642	spYML053C
nbis-gene-10643	spYML054C
nbis-gene-10644	spYML054C-A
nbis-gene-10645	spYML055W
nbis-gene-10646	spYML056C
nbis-gene-10647	spYML057C-A
nbis-gene-10648	spYML057W
nbis-gene-10649	spYML058W
nbis-gene-1065	scYDR001C
nbis-gene-10650	spYML058W-A
nbis-gene-10651	spYML059C
nbis-gene-10652	spYML060W
nbis-gene-10653	spYML061C
nbis-gene-10654	spYML062C
nbis-gene-10655	spYML063W
nbis-gene-10656	spYML064C
nbis-gene-10657	spYML065W
nbis-gene-10658	spYML066C
nbis-gene-10659	spYML067C
nbis-gene-1066	scYDR002W
nbis-gene-10660	spYML068W
nbis-gene-10661	spYML069W
nbis-gene-10662	spYML070W
nbis-gene-10663	spYML071C
nbis-gene-10664	spYML072C
nbis-gene-10665	spYML073C
nbis-gene-10666	spYML074C
nbis-gene-10667	spYML075C
nbis-gene-10668	spYML076C
nbis-gene-10669	spYML077W
nbis-gene-1067	scYDR003W
nbis-gene-10670	spYML078W
nbis-gene-10671	spYML079W
nbis-gene-10672	spYML080W
nbis-gene-10673	spYML081C-A
nbis-gene-10674	spYML081W
nbis-gene-10675	spYML082W
nbis-gene-10676	spYML083C
nbis-gene-10677	spYML084W
nbis-gene-10678	spYML085C
nbis-gene-10679	spYML086C
nbis-gene-1068	scYDR003W-A
nbis-gene-10680	spYML087C
nbis-gene-10681	spYML088W
nbis-gene-10682	spYML089C
nbis-gene-10683	spYML091C
nbis-gene-10684	spYML092C
nbis-gene-10685	spYML093W
nbis-gene-10686	spYML094W
nbis-gene-10687	spYML095C
nbis-gene-10688	spYML096W
nbis-gene-10689	spYML097C
nbis-gene-1069	scYDR004W
nbis-gene-10690	spYML098W
nbis-gene-10691	spYML099C
nbis-gene-10692	spYML100W
nbis-gene-10693	spYML100W-A
nbis-gene-10694	spYML101C
nbis-gene-10695	spYML102W
nbis-gene-10696	spYML103C
nbis-gene-10697	spYML104C
nbis-gene-10698	spYML105C
nbis-gene-10699	spYML106W
nbis-gene-107	scYAL064C-A
nbis-gene-1070	scYDR005C
nbis-gene-10700	spYML107C
nbis-gene-10701	spYML108W
nbis-gene-10702	spYML109W
nbis-gene-10703	spYML110C
nbis-gene-10704	spYML111W
nbis-gene-10705	spYML112W
nbis-gene-10706	spYML113W
nbis-gene-10707	spYML114C
nbis-gene-10708	spYML115C
nbis-gene-10709	spYML116W
nbis-gene-1071	scYDR006C
nbis-gene-10710	spYML117W
nbis-gene-10711	spYML118W
nbis-gene-10712	spYML119W
nbis-gene-10713	spYML120C
nbis-gene-10714	spYML121W
nbis-gene-10715	spYML122C
nbis-gene-10716	spYML123C
nbis-gene-10717	spYML124C
nbis-gene-10718	spYML125C
nbis-gene-10719	spYML126C
nbis-gene-1072	scYDR007W
nbis-gene-10720	spYML127W
nbis-gene-10721	spYML128C
nbis-gene-10722	spYML129C
nbis-gene-10723	spYML130C
nbis-gene-10724	spYML131W
nbis-gene-10725	spYML132W
nbis-gene-10726	spYMR001C
nbis-gene-10727	spYMR001C-A
nbis-gene-10728	spYMR002W
nbis-gene-10729	spYMR003W
nbis-gene-1073	scYDR008C
nbis-gene-10730	spYMR004W
nbis-gene-10731	spYMR005W
nbis-gene-10732	spYMR006C
nbis-gene-10733	spYMR007W
nbis-gene-10734	spYMR009W
nbis-gene-10735	spYMR010W
nbis-gene-10736	spYMR011W
nbis-gene-10737	spYMR012W
nbis-gene-10738	spYMR013C
nbis-gene-10739	spYMR013W-A
nbis-gene-1074	scYDR009W
nbis-gene-10740	spYMR014W
nbis-gene-10741	spYMR015C
nbis-gene-10742	spYMR016C
