Pool	ShortName	Fastq	ReadModel	InsertionSequence	GenomeSequence	OutputDir	GeneLocations	GeneAnnotations	GeneIdentifier
piggyBAC_all20	RBJC52	/opt/shared/skerker/rhseq/sam_pipeline/TnSeq_data/RBJC52_merged.fq	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/Model_pJC9BC.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/pJC9BC_insertion_corrected.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/D1373_Z1.fa	/opt/shared/skerker/rhseq/sam_pipeline/test_v1.1.4_PBa/all_mapped	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/hybrid_genes.gff3	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/YS2+CBS432+plasmid_clean.txt	proteinId
piggyBAC_all20	RBJC54	/opt/shared/skerker/rhseq/sam_pipeline/TnSeq_data/RBJC54_merged.fq	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/Model_pJC9BC.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/pJC9BC_insertion_corrected.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/D1373_Z1.fa	/opt/shared/skerker/rhseq/sam_pipeline/test_v1.1.4_PBa/all_mapped	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/hybrid_genes.gff3	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/YS2+CBS432+plasmid_clean.txt	proteinId
piggyBAC_all20	RBJC55	/opt/shared/skerker/rhseq/sam_pipeline/TnSeq_data/RBJC55_merged.fq	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/Model_pJC9BC.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/pJC9BC_insertion_corrected.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/D1373_Z1.fa	/opt/shared/skerker/rhseq/sam_pipeline/test_v1.1.4_PBa/all_mapped	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/hybrid_genes.gff3	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/YS2+CBS432+plasmid_clean.txt	proteinId
piggyBAC_all20	RBJC57	/opt/shared/skerker/rhseq/sam_pipeline/TnSeq_data/RBJC57_merged.fq	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/Model_pJC9BC.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/pJC9BC_insertion_corrected.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/D1373_Z1.fa	/opt/shared/skerker/rhseq/sam_pipeline/test_v1.1.4_PBa/all_mapped	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/hybrid_genes.gff3	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/YS2+CBS432+plasmid_clean.txt	proteinId
piggyBAC_all20	RBJC48_reseq	/opt/shared/skerker/rhseq/sam_pipeline/TnSeq_data/RBJC48_reseq_merged.fq	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/Model_pJC9BC.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/pJC9BC_insertion_corrected.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/D1373_Z1.fa	/opt/shared/skerker/rhseq/sam_pipeline/test_v1.1.4_PBa/all_mapped	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/hybrid_genes.gff3	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/YS2+CBS432+plasmid_clean.txt	proteinId
piggyBAC_all20	RBJC51_reseq	/opt/shared/skerker/rhseq/sam_pipeline/TnSeq_data/RBJC51_reseq_merged.fq	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/Model_pJC9BC.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/pJC9BC_insertion_corrected.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/D1373_Z1.fa	/opt/shared/skerker/rhseq/sam_pipeline/test_v1.1.4_PBa/all_mapped	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/hybrid_genes.gff3	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/YS2+CBS432+plasmid_clean.txt	proteinId
piggyBAC_all20	RBJC52_reseq	/opt/shared/skerker/rhseq/sam_pipeline/TnSeq_data/RBJC52_reseq_merged.fq	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/Model_pJC9BC.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/pJC9BC_insertion_corrected.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/D1373_Z1.fa	/opt/shared/skerker/rhseq/sam_pipeline/test_v1.1.4_PBa/all_mapped	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/hybrid_genes.gff3	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/YS2+CBS432+plasmid_clean.txt	proteinId
piggyBAC_all20	RBJC54_reseq	/opt/shared/skerker/rhseq/sam_pipeline/TnSeq_data/RBJC54_reseq_merged.fq	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/Model_pJC9BC.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/pJC9BC_insertion_corrected.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/D1373_Z1.fa	/opt/shared/skerker/rhseq/sam_pipeline/test_v1.1.4_PBa/all_mapped	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/hybrid_genes.gff3	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/YS2+CBS432+plasmid_clean.txt	proteinId
piggyBAC_all20	RBJC55_reseq	/opt/shared/skerker/rhseq/sam_pipeline/TnSeq_data/RBJC55_reseq_merged.fq	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/Model_pJC9BC.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/pJC9BC_insertion_corrected.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/D1373_Z1.fa	/opt/shared/skerker/rhseq/sam_pipeline/test_v1.1.4_PBa/all_mapped	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/hybrid_genes.gff3	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/YS2+CBS432+plasmid_clean.txt	proteinId
piggyBAC_all20	RBJC57_reseq	/opt/shared/skerker/rhseq/sam_pipeline/TnSeq_data/RBJC57_reseq_merged.fq	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/Model_pJC9BC.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/pJC9BC_insertion_corrected.txt	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/D1373_Z1.fa	/opt/shared/skerker/rhseq/sam_pipeline/test_v1.1.4_PBa/all_mapped	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/hybrid_genes.gff3	/opt/shared/skerker/rhseq/sam_pipeline/ReferenceFiles/YS2+CBS432+plasmid_clean.txt	proteinId
